seed,vulnerable_episodes,n,UTRR
2001,13,16,0.8125
2002,15,16,0.9375
2003,13,16,0.8125
2004,14,16,0.875
2005,14,16,0.875
3001,14,16,0.875
3002,14,16,0.875
3003,15,16,0.9375
3004,14,16,0.875
3005,15,16,0.9375
3006,15,16,0.9375
3007,15,16,0.9375
3008,14,16,0.875
3009,14,16,0.875
3010,15,16,0.9375
3011,14,16,0.875
3012,14,16,0.875
3013,14,16,0.875
3014,14,16,0.875
3015,15,16,0.9375
3016,14,16,0.875
3017,15,16,0.9375
3018,15,16,0.9375
3019,14,16,0.875
3020,15,16,0.9375
